game_id,track,difficulty,offGroundRatio,speedDropCount,steerChanges,FrustrationScore
852081,gran_paradiso_island,easy,2.4783765801729873,1,159,33.191350632069195
852082,xr591,medium,11.054108992353113,6,132,33.22164359694125
852667,zengarden,hard,4.773082942097027,4,74,18.309233176838813
854226,fortmagma,easy,1.7201834862385321,3,134,28.688073394495415
871357,scotland,hard,0.0,1,103,21.0
877691,scotland,best,0.0,2,98,20.400000000000002
888401,abyss,best,0.0,1,102,20.8
895514,cornfield_crossing,medium,2.7774222449763215,0,95,20.110968897990528
900099,fortmagma,hard,4.680102799945895,3,101,23.27204111997836
911858,candela_city,medium,0.0,1,84,17.2
915163,lighthouse,easy,0.0,0,96,19.200000000000003
920786,volcano_island,hard,5.80581404924648,5,225,49.32232561969859
921967,volcano_island,medium,0.9203865623561895,1,209,42.56815462494248
930210,ravenbridge_mansion,medium,2.6379690949227372,2,151,32.0551876379691
930339,stk_enterprise,best,4.811964885661645,8,91,23.32478595426466
939208,snowmountain,hard,12.749202551834129,5,123,31.699681020733653
940892,gran_paradiso_island,easy,0.0,0,170,34.0
954939,sandtrack,medium,1.5088645794039985,0,126,25.803545831761603
959523,minigolf,hard,5.044883303411131,4,70,17.617953321364453
963549,gran_paradiso_island,hard,0.0,3,116,24.400000000000002
978962,olivermath,best,4.761904761904762,3,39,10.904761904761905
980570,hacienda,easy,0.0,0,143,28.6
981688,abyss,medium,4.536616979909268,2,147,32.01464679196371
981874,black_forest,medium,1.6090516261087107,7,258,55.043620650443486
982831,lighthouse,best,5.897771952817824,2,79,18.95910878112713
993222,sandtrack,hard,3.0199972792817302,1,110,23.60799891171269
993609,abyss,medium,0.0,1,125,25.4
994982,gran_paradiso_island,best,0.0,4,97,21.000000000000004
995251,fortmagma,hard,6.344086021505377,3,102,24.137634408602153
